0,0,80,82,0,0,0,0,0,0,0,0,0,0,0,0
0,0,80,76,73,73,73,73,74,0,0,0,0,0,0,0
0,0,80,84,89,89,83,84,90,0,0,0,0,0,0,0
0,0,80,82,0,0,80,82,0,0,0,0,0,0,0,0
0,0,80,76,73,73,75,76,73,73,73,73,74,0,0,0
0,0,80,84,89,89,89,83,84,89,89,83,82,0,0,0
0,0,80,82,0,0,0,80,82,0,0,80,82,0,0,0
0,0,80,82,0,0,0,80,82,0,0,80,82,0,0,0
73,73,75,76,73,73,73,75,82,0,0,80,76,73,73,73
89,89,83,84,89,89,89,89,90,0,0,80,84,89,89,89
0,0,80,82,0,0,0,0,0,0,0,80,82,0,0,0
0,0,80,82,0,0,0,0,0,0,72,75,76,74,0,0
0,0,80,82,0,0,72,73,73,73,75,81,81,82,0,0
73,73,75,82,0,0,80,84,89,89,83,81,81,82,0,0
89,89,83,82,0,0,88,90,0,0,88,89,89,90,0,0
0,0,80,82,0,0,0,0,0,0,0,0,0,0,0,0
